Construction Site,Supplier Name,Material Type,Location,Supplier Rating,Supply Capacity (tons/month),Average Delivery Time (days),Cost per Unit (INR),Workforce Allocation,Predicted Delay Reduction (days)
Site_8908,Supplier_8,Sand,Chennai,2,311,7,491.73,38,11
Site_8909,Supplier_49,Steel,Kolkata,3,326,8,221.08,15,3
Site_8910,Supplier_84,Concrete,Bangalore,1,361,1,322.8,26,5
Site_8911,Supplier_21,Concrete,Chennai,3,347,6,354.17,100,0
Site_8912,Supplier_63,Steel,Bangalore,4,208,10,189.34,101,14
Site_8913,Supplier_32,Bricks,Kolkata,5,65,6,250.34,46,15
Site_8914,Supplier_99,Steel,Delhi,3,321,12,308.14,148,18
Site_8915,Supplier_9,Concrete,Bangalore,4,353,14,239.06,69,9
Site_8916,Supplier_85,Concrete,Kolkata,3,169,5,429.1,37,9
Site_8917,Supplier_22,Bricks,Mumbai,2,124,10,182.89,123,0
Site_8918,Supplier_12,Steel,Chennai,4,363,11,253.87,72,18
Site_8919,Supplier_27,Bricks,Bangalore,3,148,11,475.83,65,6
Site_8920,Supplier_2,Bricks,Delhi,1,435,5,345.17,58,9
Site_8921,Supplier_94,Sand,Delhi,5,443,12,176.19,62,18
Site_8922,Supplier_16,Sand,Delhi,5,225,8,303.81,155,5
Site_8923,Supplier_50,Cement,Mumbai,2,258,4,375.33,53,4
Site_8924,Supplier_99,Sand,Chennai,3,217,8,215.97,65,12
Site_8925,Supplier_94,Sand,Delhi,3,120,8,376.86,89,17
Site_8926,Supplier_41,Sand,Delhi,2,69,6,358.44,118,3
Site_8927,Supplier_35,Steel,Bangalore,4,325,6,255.3,72,1
Site_8928,Supplier_78,Concrete,Chennai,4,64,2,334.79,141,13
Site_8929,Supplier_13,Steel,Delhi,2,163,7,497.75,66,16
Site_8930,Supplier_95,Steel,Mumbai,2,150,1,426.17,141,15
Site_8931,Supplier_93,Steel,Kolkata,2,114,8,491.73,68,2
Site_8932,Supplier_64,Sand,Chennai,5,147,13,406.26,122,0
Site_8933,Supplier_13,Bricks,Mumbai,3,285,11,345.0,195,19
Site_8934,Supplier_10,Bricks,Kolkata,2,282,1,485.18,85,2
Site_8935,Supplier_76,Cement,Mumbai,1,387,8,139.77,136,12
Site_8936,Supplier_22,Concrete,Delhi,1,462,5,488.41,16,11
Site_8937,Supplier_48,Cement,Bangalore,4,390,13,313.95,83,11
Site_8938,Supplier_87,Bricks,Mumbai,5,219,9,210.52,152,18
Site_8939,Supplier_64,Cement,Mumbai,5,71,1,206.56,153,19
Site_8940,Supplier_27,Concrete,Kolkata,4,250,3,101.98,148,9
Site_8941,Supplier_66,Steel,Bangalore,1,179,9,265.05,190,11
Site_8942,Supplier_82,Steel,Kolkata,3,483,6,114.8,13,18
Site_8943,Supplier_29,Steel,Delhi,5,249,2,212.85,26,15
Site_8944,Supplier_15,Steel,Delhi,5,159,7,164.57,25,9
Site_8945,Supplier_22,Sand,Delhi,2,378,13,163.07,93,10
Site_8946,Supplier_43,Cement,Delhi,2,497,2,407.17,33,11
Site_8947,Supplier_89,Bricks,Delhi,4,63,11,454.39,169,8
Site_8948,Supplier_66,Sand,Bangalore,4,110,7,262.69,126,4
Site_8949,Supplier_66,Concrete,Bangalore,3,380,4,489.48,123,14
Site_8950,Supplier_74,Bricks,Chennai,5,133,13,312.28,38,2
Site_8951,Supplier_57,Concrete,Chennai,3,364,14,360.17,121,3
Site_8952,Supplier_76,Cement,Mumbai,1,276,7,459.92,53,15
Site_8953,Supplier_90,Concrete,Chennai,5,129,1,302.14,65,19
Site_8954,Supplier_73,Concrete,Mumbai,1,326,5,497.06,62,4
Site_8955,Supplier_60,Bricks,Mumbai,3,429,5,135.03,150,9
Site_8956,Supplier_67,Steel,Delhi,4,313,1,345.74,23,19
Site_8957,Supplier_56,Bricks,Bangalore,3,59,4,413.5,178,6
Site_8958,Supplier_41,Concrete,Chennai,1,211,4,405.27,112,3
Site_8959,Supplier_57,Bricks,Mumbai,2,162,10,108.97,186,2
Site_8960,Supplier_5,Cement,Mumbai,3,329,4,179.81,153,2
Site_8961,Supplier_67,Cement,Kolkata,4,130,9,191.44,125,11
Site_8962,Supplier_31,Sand,Mumbai,5,185,8,160.85,129,18
Site_8963,Supplier_22,Cement,Kolkata,5,311,5,253.5,146,15
Site_8964,Supplier_66,Cement,Chennai,2,367,12,203.4,177,3
Site_8965,Supplier_98,Cement,Bangalore,3,196,7,428.76,153,8
Site_8966,Supplier_38,Steel,Chennai,5,163,3,438.24,192,10
Site_8967,Supplier_69,Sand,Chennai,2,147,3,378.37,162,9
Site_8968,Supplier_7,Bricks,Chennai,2,440,3,335.88,56,4
Site_8969,Supplier_37,Concrete,Chennai,2,399,4,312.9,64,3
Site_8970,Supplier_26,Steel,Chennai,3,208,14,428.6,173,2
Site_8971,Supplier_63,Steel,Delhi,4,471,9,298.99,135,10
Site_8972,Supplier_19,Cement,Chennai,1,79,3,183.07,54,10
Site_8973,Supplier_54,Concrete,Kolkata,4,133,7,207.53,64,7
Site_8974,Supplier_68,Bricks,Mumbai,3,271,1,414.0,52,10
Site_8975,Supplier_46,Cement,Chennai,1,327,14,475.64,115,18
Site_8976,Supplier_25,Bricks,Delhi,4,126,12,360.31,119,0
Site_8977,Supplier_88,Steel,Mumbai,1,128,10,109.19,20,2
Site_8978,Supplier_88,Bricks,Delhi,1,446,5,449.19,150,16
Site_8979,Supplier_34,Bricks,Delhi,5,425,13,297.96,133,17
Site_8980,Supplier_5,Cement,Bangalore,1,335,12,416.08,129,1
Site_8981,Supplier_9,Cement,Bangalore,2,464,3,407.82,85,15
Site_8982,Supplier_47,Steel,Mumbai,5,423,11,228.06,96,2
Site_8983,Supplier_68,Sand,Bangalore,3,456,4,266.76,180,3
Site_8984,Supplier_91,Concrete,Bangalore,5,232,8,473.95,104,2
Site_8985,Supplier_33,Sand,Mumbai,1,417,4,417.28,146,1
Site_8986,Supplier_19,Concrete,Chennai,5,415,9,319.18,135,7
Site_8987,Supplier_47,Cement,Mumbai,2,434,4,361.63,120,9
Site_8988,Supplier_67,Steel,Mumbai,1,435,4,158.68,87,0
Site_8989,Supplier_57,Bricks,Chennai,1,105,5,276.02,122,19
Site_8990,Supplier_14,Steel,Mumbai,4,204,5,357.09,107,11
Site_8991,Supplier_17,Concrete,Delhi,4,286,14,209.63,90,4
Site_8992,Supplier_50,Sand,Delhi,1,220,10,257.33,134,7
Site_8993,Supplier_81,Steel,Delhi,1,85,6,408.95,19,11
Site_8994,Supplier_87,Concrete,Mumbai,3,91,5,312.87,151,18
Site_8995,Supplier_66,Bricks,Delhi,3,474,13,128.23,142,13
Site_8996,Supplier_28,Steel,Kolkata,3,360,3,328.02,33,12
Site_8997,Supplier_71,Sand,Chennai,4,199,2,409.55,73,18
Site_8998,Supplier_3,Steel,Mumbai,3,388,11,338.86,68,19
Site_8999,Supplier_7,Bricks,Chennai,5,122,9,205.88,13,6
Site_9000,Supplier_22,Concrete,Bangalore,1,198,14,362.98,63,9
Site_9001,Supplier_41,Bricks,Delhi,2,137,14,200.29,59,5
Site_9002,Supplier_32,Steel,Bangalore,2,329,1,417.5,104,11
Site_9003,Supplier_82,Sand,Kolkata,4,494,8,393.8,187,6
Site_9004,Supplier_81,Concrete,Kolkata,2,363,11,452.55,19,15
Site_9005,Supplier_36,Sand,Mumbai,4,181,11,387.08,24,12
Site_9006,Supplier_88,Cement,Delhi,2,367,3,173.19,61,8
Site_9007,Supplier_92,Bricks,Kolkata,5,311,10,172.28,43,15
Site_9008,Supplier_32,Steel,Bangalore,4,102,5,469.98,170,3
Site_9009,Supplier_16,Bricks,Delhi,3,198,2,406.67,190,18
Site_9010,Supplier_50,Sand,Mumbai,2,108,13,443.23,160,7
Site_9011,Supplier_14,Sand,Delhi,4,209,5,307.04,40,6
Site_9012,Supplier_99,Steel,Chennai,4,436,6,303.73,19,2
Site_9013,Supplier_18,Bricks,Delhi,5,451,1,408.33,107,12
Site_9014,Supplier_66,Bricks,Bangalore,5,183,1,437.04,180,18
Site_9015,Supplier_18,Steel,Kolkata,2,96,4,296.56,192,6
Site_9016,Supplier_95,Sand,Mumbai,1,94,4,320.05,19,17
Site_9017,Supplier_9,Concrete,Chennai,3,307,6,295.55,44,18
Site_9018,Supplier_19,Sand,Chennai,4,156,6,404.24,151,6
Site_9019,Supplier_72,Cement,Mumbai,2,354,1,345.9,171,5
Site_9020,Supplier_39,Cement,Mumbai,3,241,10,184.55,55,14
Site_9021,Supplier_3,Concrete,Chennai,1,341,3,448.18,142,0
Site_9022,Supplier_44,Sand,Delhi,2,374,1,245.62,66,18
Site_9023,Supplier_7,Concrete,Chennai,3,493,9,310.89,15,3
Site_9024,Supplier_50,Concrete,Bangalore,2,437,13,397.54,141,13
Site_9025,Supplier_51,Concrete,Chennai,2,435,9,276.98,103,15
Site_9026,Supplier_65,Concrete,Kolkata,5,157,3,294.65,40,19
Site_9027,Supplier_65,Cement,Delhi,5,436,11,280.27,194,12
Site_9028,Supplier_11,Cement,Kolkata,4,499,6,388.8,127,8
Site_9029,Supplier_30,Bricks,Mumbai,3,264,3,299.63,164,11
Site_9030,Supplier_44,Cement,Kolkata,3,99,6,139.22,56,18
Site_9031,Supplier_39,Bricks,Delhi,5,110,12,368.35,130,9
Site_9032,Supplier_42,Cement,Bangalore,2,437,11,357.61,51,18
Site_9033,Supplier_67,Cement,Kolkata,1,216,9,234.82,42,3
Site_9034,Supplier_60,Steel,Delhi,1,113,7,310.64,182,6
Site_9035,Supplier_22,Sand,Kolkata,4,92,14,356.01,131,13
Site_9036,Supplier_91,Steel,Delhi,5,277,7,323.52,124,3
Site_9037,Supplier_52,Sand,Mumbai,3,198,13,455.72,147,4
Site_9038,Supplier_79,Cement,Delhi,3,198,10,273.31,190,7
Site_9039,Supplier_66,Sand,Mumbai,3,138,3,202.5,147,11
Site_9040,Supplier_46,Sand,Chennai,4,460,7,108.11,34,12
Site_9041,Supplier_23,Concrete,Mumbai,4,184,3,375.55,183,15
Site_9042,Supplier_59,Steel,Mumbai,2,143,8,242.74,18,0
Site_9043,Supplier_84,Concrete,Bangalore,2,268,7,378.91,191,11
Site_9044,Supplier_50,Steel,Kolkata,3,318,14,476.75,75,7
Site_9045,Supplier_64,Sand,Kolkata,4,480,14,251.39,11,17
Site_9046,Supplier_44,Bricks,Bangalore,1,419,1,223.13,27,12
Site_9047,Supplier_86,Sand,Mumbai,2,261,4,447.47,108,5
Site_9048,Supplier_75,Steel,Kolkata,5,362,1,116.65,67,13
Site_9049,Supplier_12,Steel,Delhi,2,278,2,491.78,134,17
Site_9050,Supplier_14,Cement,Delhi,4,456,11,161.53,66,8
Site_9051,Supplier_59,Sand,Mumbai,1,65,12,411.16,120,11
Site_9052,Supplier_55,Concrete,Chennai,2,360,3,342.32,187,3
Site_9053,Supplier_42,Cement,Chennai,2,129,6,123.76,173,6
Site_9054,Supplier_17,Steel,Bangalore,4,433,3,464.34,36,6
Site_9055,Supplier_74,Bricks,Bangalore,1,103,12,358.3,135,3
Site_9056,Supplier_32,Sand,Mumbai,1,113,7,108.4,126,14
Site_9057,Supplier_34,Concrete,Bangalore,2,79,9,473.68,106,17
Site_9058,Supplier_61,Cement,Delhi,5,149,2,462.4,119,17
Site_9059,Supplier_21,Steel,Kolkata,5,455,4,137.99,80,6
Site_9060,Supplier_8,Bricks,Bangalore,5,495,13,239.69,111,8
Site_9061,Supplier_75,Sand,Bangalore,5,347,1,228.11,81,2
Site_9062,Supplier_65,Bricks,Bangalore,3,357,11,271.66,13,10
Site_9063,Supplier_23,Cement,Delhi,4,400,3,435.72,150,12
Site_9064,Supplier_19,Sand,Chennai,2,201,4,369.89,105,14
Site_9065,Supplier_69,Concrete,Bangalore,5,238,7,380.72,119,2
Site_9066,Supplier_29,Sand,Delhi,2,316,11,300.13,184,4
Site_9067,Supplier_33,Sand,Chennai,1,391,11,185.26,108,13
Site_9068,Supplier_93,Cement,Delhi,2,194,7,277.65,37,7
Site_9069,Supplier_58,Sand,Mumbai,5,100,11,429.43,123,14
Site_9070,Supplier_26,Cement,Chennai,2,120,13,272.85,14,15
Site_9071,Supplier_24,Concrete,Chennai,3,406,9,232.22,106,5
Site_9072,Supplier_56,Concrete,Mumbai,2,164,1,343.58,144,10
Site_9073,Supplier_33,Sand,Kolkata,5,78,7,276.89,37,4
Site_9074,Supplier_56,Steel,Bangalore,1,224,8,101.4,112,7
Site_9075,Supplier_89,Steel,Chennai,3,205,14,392.39,97,9
Site_9076,Supplier_6,Concrete,Kolkata,4,368,2,493.26,48,6
Site_9077,Supplier_56,Steel,Kolkata,5,270,6,260.4,97,2
Site_9078,Supplier_80,Sand,Chennai,5,218,12,490.63,90,0
Site_9079,Supplier_53,Cement,Mumbai,4,370,7,177.46,48,3
Site_9080,Supplier_49,Bricks,Bangalore,3,124,2,134.88,170,0
Site_9081,Supplier_64,Concrete,Chennai,5,149,4,260.16,130,5
Site_9082,Supplier_90,Bricks,Bangalore,4,452,10,498.87,43,1
Site_9083,Supplier_36,Bricks,Kolkata,4,466,13,100.01,103,2
Site_9084,Supplier_92,Concrete,Chennai,1,141,11,214.21,65,19
Site_9085,Supplier_20,Sand,Mumbai,3,182,9,395.45,19,0
Site_9086,Supplier_1,Steel,Delhi,3,204,10,493.71,161,13
Site_9087,Supplier_49,Concrete,Delhi,4,246,1,272.18,45,11
Site_9088,Supplier_17,Cement,Chennai,4,135,8,101.03,97,0
Site_9089,Supplier_12,Steel,Delhi,2,488,7,421.6,50,2
Site_9090,Supplier_53,Bricks,Mumbai,1,249,14,136.42,153,12
Site_9091,Supplier_37,Sand,Chennai,4,276,12,124.43,16,19
Site_9092,Supplier_69,Steel,Chennai,2,273,14,136.59,158,10
Site_9093,Supplier_76,Concrete,Mumbai,2,58,4,116.2,127,0
Site_9094,Supplier_63,Concrete,Mumbai,2,223,3,332.94,191,8
Site_9095,Supplier_46,Sand,Kolkata,2,189,8,389.83,193,6
Site_9096,Supplier_42,Concrete,Delhi,4,436,2,444.24,195,5
Site_9097,Supplier_10,Cement,Delhi,4,68,5,120.1,94,15
Site_9098,Supplier_45,Steel,Mumbai,5,284,2,365.13,62,11
Site_9099,Supplier_6,Bricks,Delhi,4,233,9,293.81,119,13
Site_9100,Supplier_98,Concrete,Bangalore,3,458,2,434.58,129,19
Site_9101,Supplier_63,Concrete,Chennai,4,251,1,469.84,31,17
Site_9102,Supplier_94,Sand,Delhi,1,308,3,499.78,143,0
Site_9103,Supplier_80,Steel,Bangalore,3,93,5,393.19,82,15
Site_9104,Supplier_56,Bricks,Bangalore,2,52,11,254.13,28,1
Site_9105,Supplier_81,Sand,Mumbai,4,360,10,212.52,133,3
Site_9106,Supplier_18,Bricks,Mumbai,3,206,10,273.42,188,19
Site_9107,Supplier_44,Steel,Kolkata,2,117,14,278.19,42,0
Site_9108,Supplier_17,Steel,Chennai,3,366,2,297.32,68,17
Site_9109,Supplier_7,Steel,Chennai,2,499,5,262.77,70,9
Site_9110,Supplier_51,Concrete,Delhi,5,371,5,104.4,191,1
Site_9111,Supplier_91,Cement,Kolkata,1,440,13,270.0,176,18
Site_9112,Supplier_47,Steel,Bangalore,5,161,4,402.86,108,8
Site_9113,Supplier_14,Cement,Chennai,1,322,7,341.94,129,4
Site_9114,Supplier_70,Cement,Mumbai,3,231,4,161.45,185,16
Site_9115,Supplier_91,Concrete,Mumbai,5,422,7,389.93,145,4
Site_9116,Supplier_96,Cement,Delhi,3,493,14,250.8,195,11
Site_9117,Supplier_29,Concrete,Mumbai,4,332,9,403.42,65,1
Site_9118,Supplier_95,Concrete,Chennai,3,89,11,265.64,140,14
Site_9119,Supplier_56,Steel,Chennai,4,452,10,188.3,149,6
Site_9120,Supplier_31,Sand,Mumbai,1,344,9,245.36,118,15
Site_9121,Supplier_28,Cement,Bangalore,5,490,10,468.47,17,18
Site_9122,Supplier_82,Concrete,Kolkata,5,270,1,296.94,146,0
Site_9123,Supplier_33,Concrete,Mumbai,2,215,8,488.09,197,18
Site_9124,Supplier_16,Bricks,Delhi,2,105,3,414.58,150,6
Site_9125,Supplier_98,Bricks,Chennai,5,420,13,468.14,184,9
Site_9126,Supplier_69,Cement,Kolkata,1,165,5,152.34,167,13
Site_9127,Supplier_31,Sand,Delhi,4,340,3,379.85,191,2
Site_9128,Supplier_25,Bricks,Mumbai,5,196,6,117.88,51,18
Site_9129,Supplier_15,Sand,Mumbai,3,447,4,108.8,112,19
Site_9130,Supplier_27,Steel,Mumbai,2,441,6,208.15,182,6
Site_9131,Supplier_31,Sand,Delhi,2,481,3,119.79,145,0
Site_9132,Supplier_72,Cement,Bangalore,2,293,2,438.9,10,10
Site_9133,Supplier_48,Cement,Mumbai,2,126,11,203.53,198,15
Site_9134,Supplier_26,Cement,Bangalore,2,344,4,241.61,98,4
Site_9135,Supplier_12,Bricks,Delhi,3,402,13,234.36,55,0
Site_9136,Supplier_10,Sand,Delhi,2,496,10,248.18,141,8
Site_9137,Supplier_68,Bricks,Kolkata,2,124,11,276.4,69,5
Site_9138,Supplier_67,Cement,Kolkata,4,135,6,490.17,51,18
Site_9139,Supplier_7,Sand,Mumbai,1,216,7,218.16,47,8
Site_9140,Supplier_87,Bricks,Chennai,4,284,11,232.13,15,15
Site_9141,Supplier_20,Cement,Kolkata,2,283,5,368.28,114,7
Site_9142,Supplier_27,Cement,Delhi,4,448,14,425.76,187,13
Site_9143,Supplier_77,Sand,Delhi,5,423,4,272.85,154,14
Site_9144,Supplier_45,Sand,Kolkata,4,259,12,259.31,52,17
Site_9145,Supplier_14,Steel,Kolkata,4,164,1,213.0,26,3
Site_9146,Supplier_54,Steel,Delhi,3,449,2,314.12,21,10
Site_9147,Supplier_95,Bricks,Delhi,3,381,5,246.7,65,13
Site_9148,Supplier_77,Sand,Kolkata,3,320,11,458.51,104,6
Site_9149,Supplier_38,Sand,Delhi,5,96,1,196.97,194,14
Site_9150,Supplier_36,Bricks,Mumbai,1,82,5,114.47,83,2
Site_9151,Supplier_73,Steel,Bangalore,2,225,1,170.57,125,14
Site_9152,Supplier_98,Steel,Chennai,1,320,8,235.9,18,12
Site_9153,Supplier_1,Steel,Chennai,1,215,5,453.45,16,12
Site_9154,Supplier_40,Bricks,Chennai,5,302,9,476.4,46,15
Site_9155,Supplier_99,Sand,Kolkata,1,366,3,270.57,62,0
Site_9156,Supplier_75,Steel,Kolkata,3,449,1,432.33,115,0
Site_9157,Supplier_87,Cement,Delhi,4,218,3,233.75,183,14
Site_9158,Supplier_61,Concrete,Kolkata,1,422,10,396.12,33,5
Site_9159,Supplier_7,Steel,Bangalore,5,374,13,421.39,117,3
Site_9160,Supplier_54,Bricks,Chennai,3,432,9,174.19,102,12
Site_9161,Supplier_26,Steel,Kolkata,1,108,1,217.28,143,1
Site_9162,Supplier_90,Cement,Bangalore,2,295,9,131.36,24,18
Site_9163,Supplier_69,Bricks,Delhi,1,477,13,367.46,157,5
Site_9164,Supplier_62,Steel,Delhi,4,411,9,486.26,32,2
Site_9165,Supplier_13,Concrete,Delhi,2,347,5,388.17,111,8
Site_9166,Supplier_40,Sand,Kolkata,3,188,8,237.28,191,4
Site_9167,Supplier_84,Cement,Chennai,2,243,6,477.24,115,8
Site_9168,Supplier_66,Cement,Chennai,1,132,5,228.72,86,9
Site_9169,Supplier_3,Steel,Bangalore,5,360,2,252.83,52,7
Site_9170,Supplier_30,Concrete,Mumbai,3,275,12,123.54,123,7
Site_9171,Supplier_99,Cement,Kolkata,1,317,1,364.71,153,3
Site_9172,Supplier_40,Concrete,Mumbai,1,223,6,249.68,57,17
Site_9173,Supplier_68,Bricks,Chennai,5,313,7,479.87,40,3
Site_9174,Supplier_1,Bricks,Kolkata,1,246,8,294.09,153,4
Site_9175,Supplier_43,Steel,Delhi,5,394,13,486.9,44,12
Site_9176,Supplier_30,Concrete,Bangalore,2,205,3,258.64,11,3
Site_9177,Supplier_39,Concrete,Chennai,3,187,12,470.25,108,7
Site_9178,Supplier_81,Cement,Delhi,5,451,12,105.85,30,19
Site_9179,Supplier_6,Steel,Delhi,2,280,8,191.9,32,14
Site_9180,Supplier_13,Concrete,Mumbai,2,351,2,247.09,193,11
Site_9181,Supplier_1,Concrete,Delhi,4,447,7,342.48,156,6
Site_9182,Supplier_45,Bricks,Kolkata,3,336,7,419.86,143,16
Site_9183,Supplier_44,Steel,Kolkata,1,383,9,390.08,33,11
Site_9184,Supplier_76,Bricks,Bangalore,2,431,3,334.22,160,18
Site_9185,Supplier_78,Steel,Kolkata,4,442,2,231.37,133,17
Site_9186,Supplier_46,Concrete,Mumbai,5,79,2,359.33,177,11
Site_9187,Supplier_69,Concrete,Kolkata,5,317,7,402.65,105,16
Site_9188,Supplier_8,Steel,Chennai,1,165,1,423.37,61,14
Site_9189,Supplier_18,Sand,Mumbai,5,268,11,169.91,10,7
Site_9190,Supplier_84,Bricks,Delhi,4,187,10,168.75,160,4
Site_9191,Supplier_75,Sand,Delhi,5,164,13,435.35,71,0
Site_9192,Supplier_85,Bricks,Chennai,1,409,13,483.55,136,15
Site_9193,Supplier_70,Cement,Delhi,4,383,9,183.01,59,17
Site_9194,Supplier_45,Concrete,Bangalore,2,196,13,172.01,162,2
Site_9195,Supplier_53,Sand,Delhi,2,443,10,220.72,110,18
Site_9196,Supplier_28,Bricks,Mumbai,5,297,8,435.11,155,6
Site_9197,Supplier_96,Sand,Mumbai,5,344,14,353.39,163,10
Site_9198,Supplier_24,Cement,Mumbai,1,360,2,442.26,165,15
Site_9199,Supplier_99,Sand,Bangalore,5,270,4,169.88,147,2
Site_9200,Supplier_70,Steel,Bangalore,1,380,13,305.13,151,9
Site_9201,Supplier_7,Steel,Chennai,5,393,2,493.72,28,12
Site_9202,Supplier_90,Cement,Chennai,1,114,13,163.68,107,15
Site_9203,Supplier_84,Bricks,Delhi,5,188,7,452.97,43,12
Site_9204,Supplier_90,Steel,Chennai,4,406,7,211.63,151,14
Site_9205,Supplier_9,Bricks,Chennai,3,431,3,100.88,157,8
Site_9206,Supplier_41,Bricks,Delhi,4,414,9,345.94,134,18
Site_9207,Supplier_21,Sand,Delhi,4,405,12,299.79,34,0
Site_9208,Supplier_90,Concrete,Mumbai,2,247,2,142.44,86,6
Site_9209,Supplier_60,Concrete,Mumbai,1,266,8,158.02,32,13
Site_9210,Supplier_14,Steel,Bangalore,4,466,5,161.82,88,15
Site_9211,Supplier_27,Sand,Kolkata,3,479,10,304.95,115,3
Site_9212,Supplier_1,Concrete,Kolkata,1,62,13,193.76,22,5
Site_9213,Supplier_58,Bricks,Kolkata,1,105,6,168.91,174,17
Site_9214,Supplier_29,Sand,Chennai,3,88,12,100.62,164,7
Site_9215,Supplier_17,Bricks,Mumbai,4,267,7,447.68,39,18
Site_9216,Supplier_98,Concrete,Mumbai,3,373,13,271.94,184,3
Site_9217,Supplier_28,Steel,Mumbai,4,112,4,294.91,34,11
Site_9218,Supplier_79,Steel,Kolkata,4,117,12,176.3,123,11
Site_9219,Supplier_78,Bricks,Bangalore,3,62,14,449.95,51,15
Site_9220,Supplier_44,Steel,Bangalore,3,76,7,391.49,18,16
Site_9221,Supplier_69,Steel,Kolkata,3,348,5,451.73,12,12
Site_9222,Supplier_20,Steel,Kolkata,1,420,13,321.36,44,11
Site_9223,Supplier_85,Steel,Kolkata,5,58,1,297.89,175,14
Site_9224,Supplier_63,Cement,Delhi,1,176,14,124.09,53,15
Site_9225,Supplier_69,Concrete,Mumbai,2,176,7,222.19,191,0
Site_9226,Supplier_60,Concrete,Chennai,2,369,9,386.83,36,7
Site_9227,Supplier_7,Sand,Kolkata,1,237,6,153.96,71,2
Site_9228,Supplier_52,Concrete,Delhi,2,165,2,290.9,98,9
Site_9229,Supplier_28,Steel,Chennai,4,309,7,147.8,192,13
Site_9230,Supplier_93,Steel,Delhi,3,195,6,297.13,164,10
Site_9231,Supplier_32,Cement,Delhi,4,293,6,314.25,17,2
Site_9232,Supplier_18,Sand,Chennai,3,159,5,128.74,154,11
Site_9233,Supplier_69,Cement,Chennai,1,187,12,218.19,11,6
Site_9234,Supplier_58,Concrete,Delhi,5,339,14,408.82,166,5
Site_9235,Supplier_74,Cement,Chennai,1,431,4,270.72,69,9
Site_9236,Supplier_20,Cement,Delhi,3,141,1,348.47,132,10
Site_9237,Supplier_73,Sand,Chennai,1,191,5,387.03,183,1
Site_9238,Supplier_62,Bricks,Bangalore,1,227,4,185.45,28,11
Site_9239,Supplier_23,Sand,Kolkata,1,110,7,124.43,199,17
Site_9240,Supplier_92,Steel,Kolkata,4,335,5,283.61,131,17
Site_9241,Supplier_45,Cement,Delhi,4,434,10,209.35,139,12
Site_9242,Supplier_13,Steel,Kolkata,1,172,8,111.66,52,16
Site_9243,Supplier_89,Bricks,Bangalore,2,61,6,441.64,53,18
Site_9244,Supplier_81,Concrete,Bangalore,4,327,4,339.9,23,5
Site_9245,Supplier_12,Steel,Bangalore,5,352,3,153.33,35,18
Site_9246,Supplier_13,Sand,Mumbai,4,410,8,449.95,28,18
Site_9247,Supplier_3,Sand,Delhi,1,235,7,104.7,116,6
Site_9248,Supplier_8,Bricks,Bangalore,5,320,3,367.98,91,16
Site_9249,Supplier_68,Concrete,Mumbai,4,459,8,475.75,98,9
Site_9250,Supplier_98,Sand,Delhi,5,136,8,327.67,192,13
Site_9251,Supplier_78,Concrete,Delhi,4,375,2,400.48,154,19
Site_9252,Supplier_33,Sand,Kolkata,5,270,10,106.81,175,8
Site_9253,Supplier_19,Concrete,Chennai,1,272,12,283.15,188,0
Site_9254,Supplier_1,Steel,Delhi,5,490,10,358.8,16,4
Site_9255,Supplier_12,Concrete,Mumbai,4,135,12,198.26,48,8
Site_9256,Supplier_57,Steel,Bangalore,4,125,11,375.14,198,3
Site_9257,Supplier_37,Steel,Delhi,3,225,2,471.23,43,11
Site_9258,Supplier_72,Concrete,Delhi,5,455,3,399.8,130,12
Site_9259,Supplier_17,Concrete,Mumbai,1,358,10,361.65,148,13
Site_9260,Supplier_31,Sand,Delhi,5,355,11,212.06,152,9
Site_9261,Supplier_4,Bricks,Mumbai,4,296,11,379.13,52,11
Site_9262,Supplier_92,Bricks,Chennai,4,315,8,481.24,131,3
Site_9263,Supplier_58,Bricks,Delhi,2,481,5,405.89,162,13
Site_9264,Supplier_34,Cement,Delhi,4,383,7,433.39,52,15
Site_9265,Supplier_96,Steel,Kolkata,4,68,8,110.55,15,14
Site_9266,Supplier_73,Concrete,Delhi,4,370,3,489.08,177,3
Site_9267,Supplier_87,Sand,Chennai,5,485,5,408.52,53,5
Site_9268,Supplier_3,Cement,Delhi,2,111,7,186.44,83,1
Site_9269,Supplier_26,Bricks,Bangalore,5,360,5,311.37,28,17
Site_9270,Supplier_95,Concrete,Chennai,4,463,5,178.65,110,16
Site_9271,Supplier_78,Steel,Delhi,5,412,12,322.01,181,5
Site_9272,Supplier_42,Bricks,Mumbai,2,322,2,128.91,101,11
Site_9273,Supplier_16,Steel,Kolkata,4,90,5,286.66,52,11
Site_9274,Supplier_76,Cement,Kolkata,4,333,6,343.58,49,9
Site_9275,Supplier_43,Concrete,Kolkata,1,105,5,477.42,190,2
Site_9276,Supplier_12,Concrete,Delhi,2,382,9,255.56,29,10
Site_9277,Supplier_6,Cement,Kolkata,4,440,11,398.39,190,14
Site_9278,Supplier_34,Steel,Delhi,3,426,5,467.65,86,4
Site_9279,Supplier_5,Bricks,Chennai,5,201,10,254.34,56,4
Site_9280,Supplier_71,Concrete,Delhi,3,195,14,141.46,39,0
Site_9281,Supplier_30,Bricks,Mumbai,2,431,9,224.97,177,15
Site_9282,Supplier_60,Sand,Delhi,1,121,11,463.7,17,0
Site_9283,Supplier_69,Concrete,Delhi,3,139,5,399.32,116,18
